@relation segment-weka.filters.unsupervised.instance.ClassRemover-Clast-N2-H

@attribute region-centroid-col numeric
@attribute region-centroid-row numeric
@attribute region-pixel-count numeric
@attribute short-line-density-5 numeric
@attribute short-line-density-2 numeric
@attribute vedge-mean numeric
@attribute vegde-sd numeric
@attribute hedge-mean numeric
@attribute hedge-sd numeric
@attribute intensity-mean numeric
@attribute rawred-mean numeric
@attribute rawblue-mean numeric
@attribute rawgreen-mean numeric
@attribute exred-mean numeric
@attribute exblue-mean numeric
@attribute exgreen-mean numeric
@attribute value-mean numeric
@attribute saturation-mean numeric
@attribute hue-mean numeric
@attribute class {sky,brickface}

@data
141,68,9,0,0,1.44444,1.00741,2.16667,0.877779,27.1852,24.2222,36.8889,20.4444,-8.88889,29.1111,-20.2222,36.8889,0.445652,-1.84852,brickface
58,122,9,0,0,0.277778,0.107407,0.555556,0.118519,5.62963,7,6.66667,3.22222,4.11111,3.11111,-7.22222,7.22222,0.551587,-0.964797,brickface
78,30,9,0,0,0.666667,0.666666,0.944444,0.772201,112.963,99.3333,131.111,108.444,-40.8889,54.4444,-13.5556,131.111,0.242337,-2.39506,sky
114,121,9,0,0,0.444444,0.118518,0.611111,0.107407,6.40741,8,7.44444,3.77778,4.77778,3.11111,-7.88889,8,0.528219,-0.914324,brickface
85,101,9,0,0,1.33333,1.28889,1.27778,1.21852,21.2963,21.2222,26.7778,15.8889,-0.222222,16.4444,-16.2222,26.7778,0.404792,-1.5586,brickface
37,126,9,0,0,0.388889,0.062963,0.444445,0.251852,5.77778,7.44444,6.77778,3.11111,5,3,-8,7.44444,0.581349,-0.895807,brickface
33,117,9,0,0,0.5,0.122222,1,0.311111,6.44444,7.33333,8.22222,3.77778,2.66667,5.33333,-8,8.22222,0.53858,-1.23326,brickface
71,90,9,0,0,2.77778,2.07407,5.11111,3.27407,22.6296,22,29.1111,16.7778,-1.88889,19.4444,-17.5556,29.1111,0.420486,-1.62233,brickface
80,95,9,0,0,1.22222,1.00741,0.944444,0.551851,21.4074,21.3333,26.6667,16.2222,-0.222222,15.7778,-15.5556,26.6667,0.390436,-1.56733,brickface
148,116,9,0,0,0.5,0.477778,1.16667,0.611111,6.11111,7.11111,7.66667,3.55556,3,4.66667,-7.66667,7.77778,0.544733,-1.16325,brickface
140,34,9,0,0,0.499999,0.122222,0.888887,0.207408,105.481,91.2222,127.333,97.8889,-42.7778,65.5556,-22.7778,127.333,0.283524,-2.28664,sky
2,63,9,0,0,1.22222,0.562963,1.5,0.700001,18.0741,17.2222,23.6667,13.3333,-2.55556,16.7778,-14.2222,23.6667,0.435021,-1.68385,brickface
179,101,9,0,0,0.444448,0.385187,0.611109,0.329633,134.926,126.444,147.222,131.111,-25.4444,36.8889,-11.4444,147.222,0.141107,-2.32873,sky
206,57,9,0,0,1.05556,0.196297,0.888889,0.340743,122.333,111.333,139,116.667,-33,50,-17,139,0.198924,-2.29717,sky
152,18,9,0,0,0.777777,0.455422,0.555557,0.272164,112.111,97.2222,130.444,108.667,-44.6667,55,-10.3333,130.444,0.254668,-2.45498,sky
166,65,9,0,0,0.777777,0.785188,0.722221,0.329629,97.3333,82.7778,121.111,88.1111,-43.6667,71.3333,-27.6667,121.111,0.316474,-2.23914,sky
32,45,9,0,0,2.27778,3.17407,3.27778,1.44074,21.9259,20.5556,28.7778,16.4444,-4.11111,20.5556,-16.4444,28.7778,0.428167,-1.73537,brickface
192,51,9,0,0,0.722224,0.389683,0.944443,0.772203,108.741,95.2222,127,104,-40.5556,54.7778,-14.2222,127,0.250137,-2.38344,sky
162,14,9,0,0,0.944445,0.53403,0.611113,0.712327,112.741,99,130.667,108.556,-41.2222,53.7778,-12.5556,130.667,0.242294,-2.40897,sky
159,40,9,0,0,0.888889,0.62063,0.555556,0.172131,125.148,114.222,141.667,119.556,-32.7778,49.5556,-16.7778,141.667,0.193665,-2.2949,sky
181,27,9,0,0,0.722221,0.462964,0.5,0.255555,138.074,132.556,146.556,135.111,-16.5556,25.4444,-8.88889,146.556,0.096263,-2.26453,sky
164,49,9,0,0,1.16667,0.433335,1.5,0.300001,126.185,116.333,141.778,120.444,-29.5556,46.7778,-17.2222,141.778,0.179413,-2.26374,sky
154,120,9,0,0,0.444444,0.02963,0.444445,0.118518,5.96296,7.77778,6.77778,3.33333,5.44444,2.44444,-7.88889,7.77778,0.569444,-0.820403,brickface
175,14,9,0,0,0.888888,0.807371,1.22222,0.779361,113.815,100.111,132.111,109.222,-41.1111,54.8889,-13.7778,132.111,0.24216,-2.39111,sky
147,92,9,0,0,1.11111,0.429631,1.38889,2.24074,23.4444,22.7778,30,17.5556,-2,19.6667,-17.6667,30,0.414356,-1.65393,brickface
101,80,9,0,0,3.55556,1.85185,3,3.86667,24.8148,24.3333,31.5556,18.5556,-1.44444,20.2222,-18.7778,31.5556,0.412094,-1.62045,brickface
122,91,9,0,0,2.22222,2.02963,2.16667,1.27778,22.4815,22,28.7778,16.6667,-1.44444,18.8889,-17.4444,28.7778,0.420716,-1.63041,brickface
76,19,9,0,0,0.944444,0.443052,0.888888,0.58373,114.259,101,132.333,109.444,-39.7778,54.2222,-14.4444,132.333,0.236733,-2.37598,sky
74,88,9,0,0,0.722221,0.329632,0.500001,0.211111,110.593,101.556,127.556,102.667,-27.1111,50.8889,-23.7778,127.556,0.204675,-2.13924,sky
32,113,9,0,0,0.5,0.077778,0.277778,0.151852,6.14815,7.22222,7.77778,3.44444,3.22222,4.88889,-8.11111,7.88889,0.563492,-1.17545,brickface
42,59,9,0,0,1.83333,3.5,2.05556,0.862963,21.8148,20.7778,28.7778,15.8889,-3.11111,20.8889,-17.7778,28.7778,0.445142,-1.68081,brickface
57,89,9,0.111111,0,0.555555,0.272169,1.27778,0.772203,106.074,93.1111,125.444,99.6667,-38.8889,58.1111,-19.2222,125.444,0.257746,-2.3062,sky
102,73,9,0,0,0.388889,0.062964,1.61111,1.21852,125.519,115.444,140.556,120.556,-30.2222,45.1111,-14.8889,140.556,0.178636,-2.3074,sky
81,67,9,0,0,0.833332,0.459472,0.888889,0.58373,122.889,112.333,138.444,117.889,-31.6667,46.6667,-15,138.444,0.18855,-2.31719,sky
88,88,9,0,0,0.833333,0.477778,2.88889,2.38518,22.1481,21.3333,28.4444,16.6667,-2.44444,18.8889,-16.4444,28.4444,0.413308,-1.65379,brickface
16,128,9,0,0,0.5,0.077778,0.666667,0.311111,5.55556,6.88889,6.66667,3.11111,4,3.33333,-7.33333,7.11111,0.561508,-0.985811,brickface
39,111,9,0,0,0.722222,0.374074,0.888889,0.429629,6.03704,7,7.66667,3.44444,2.88889,4.88889,-7.77778,7.88889,0.562919,-1.17577,brickface
101,42,9,0,0,1.11111,0.607408,1.16667,0.744442,137.074,130.444,147.444,133.333,-19.8889,31.1111,-11.2222,147.444,0.115302,-2.26361,sky
167,57,9,0,0,0.944447,0.374073,0.77778,0.696297,98.5926,84,121.556,90.2222,-43.7778,68.8889,-25.1111,121.556,0.308813,-2.2644,sky
37,114,9,0.333333,0,1.38889,2.01852,3.88889,3.76296,17.2222,19,20.1111,12.5556,5.33333,8.66667,-14,20.5556,0.393691,-1.17666,brickface
55,128,9,0,0,0.333333,0.044445,0.388889,0.151852,5.03704,6.88889,5.44444,2.77778,5.55556,1.22222,-6.77778,6.88889,0.593915,-0.688601,brickface
226,83,9,0,0,0.888889,0.518519,1.05555,0.507406,90.6296,74.5556,116.889,80.4444,-48.2222,78.7778,-30.5556,116.889,0.362062,-2.23905,sky
196,134,9,0,0,0.555556,0.251852,0.777778,0.296296,6.07407,7.44444,7.11111,3.66667,4.11111,3.11111,-7.22222,7.77778,0.529982,-0.966318,brickface
75,149,9,0,0,0.5,0.122222,1.05556,0.507407,7.51852,5.55556,11.8889,5.11111,-5.88889,13.1111,-7.22222,11.8889,0.578708,-2.01863,brickface
167,45,9,0,0,0.944444,0.729629,0.611109,0.285185,101.222,87.1111,124,92.5556,-42.3333,68.3333,-26,124,0.297414,-2.24782,sky
23,113,9,0,0,0.722222,0.996296,2.77778,2.78518,14.7037,17.1111,16.8889,10.1111,7.22222,6.55556,-13.7778,18.3333,0.451359,-0.9757,brickface
245,93,9,0.111111,0,2.88889,3.89631,1.94444,4.90741,86.2963,70.6667,112.111,76.1111,-46.8889,77.4444,-30.5556,112.111,0.369638,-2.23156,sky
29,66,9,0,0,2.55556,2.16296,2.16667,5.14445,22.6296,21.2222,29.8889,16.7778,-4.22222,21.7778,-17.5556,29.8889,0.438246,-1.73354,brickface
92,56,9,0,0,0.444443,0.029629,0.833333,0.566668,126,115.889,140.667,121.444,-30.3333,44,-13.6667,140.667,0.176061,-2.32678,sky
4,40,9,0,0,1.33333,2.71111,1.11111,2.11852,17.1852,15.6667,23.3333,12.5556,-4.55556,18.4444,-13.8889,23.3333,0.46306,-1.7836,brickface
58,58,9,0,0,0.555556,0.403686,0.888891,0.860663,123,112.556,137.444,119,-31.3333,43.3333,-12,137.444,0.180972,-2.36538,sky
199,140,9,0,0,0.444444,0.251852,0.5,0.388889,6,7.44444,6.88889,3.66667,4.33333,2.66667,-7,7.55556,0.513889,-0.91962,brickface
83,54,9,0,0,0.777776,0.720081,0.666667,0.557772,109.963,97.5556,127.444,104.889,-37.2222,52.4444,-15.2222,127.444,0.234504,-2.35118,sky
85,101,9,0,0,1.33333,1.28889,1.27778,1.21852,21.2963,21.2222,26.7778,15.8889,-0.222222,16.4444,-16.2222,26.7778,0.404792,-1.5586,brickface
67,71,9,0,0,1.66667,0.888891,1.5,0.299998,125.963,115.556,140.889,121.444,-31.2222,44.7778,-13.5556,140.889,0.179672,-2.33976,sky
252,27,9,0,0,1.27778,0.596293,0.999997,0.577774,136.296,130.333,145.556,133,-17.8889,27.7778,-9.88889,145.556,0.10447,-2.26413,sky
138,116,9,0,0,0.611111,0.151852,0.444445,0.207407,6.48148,7.55556,8.22222,3.66667,3.22222,5.22222,-8.44444,8.33333,0.559171,-1.19107,brickface
178,16,9,0,0,0.333335,0.298143,1.5,1.20646,112.963,99.5556,131,108.333,-40.2222,54.1111,-13.8889,131,0.239899,-2.385,sky
189,115,9,0,0,0.166667,0.033333,0.333333,0.133333,6.66667,8.22222,7.88889,3.88889,4.66667,3.66667,-8.33333,8.44444,0.53858,-0.965144,brickface
165,99,9,0,0,0.888891,0.474074,0.777779,0.474074,93.4074,79,118,83.2222,-43.2222,73.7778,-30.5556,118,0.330418,-2.20776,sky
147,111,9,0,0,0.388889,0.151852,0.444445,0.118519,5.66667,7,7,3,4,4,-8,7.33333,0.59127,-1.04143,brickface
53,53,9,0,0,1,0.444444,1.11111,0.429629,113.148,104.333,130.222,104.889,-26.4444,51.2222,-24.7778,130.222,0.200484,-2.11701,sky
78,107,9,0,0,0.833333,0.655556,1.61111,1.92963,17.1852,18.3333,20.6667,12.5556,3.44444,10.4444,-13.8889,20.7778,0.395253,-1.3125,brickface
219,134,9,0,0,0.277778,0.107407,0.666667,0.444444,4.74074,6.44444,5.22222,2.55556,5.11111,1.44444,-6.55556,6.44444,0.603704,-0.730465,brickface
64,49,9,0,0,0.944447,0.240742,0.722225,0.41852,108.889,97.1111,128.889,100.667,-35.3333,60,-24.6667,128.889,0.246491,-2.21166,sky
177,85,9,0,0,0.833333,0.166668,0.888888,0.429629,93.5556,79.2222,118,83.4444,-43,73.3333,-30.3333,118,0.328603,-2.20841,sky
216,17,9,0,0,0.666665,0.5164,1.27778,1.02017,126.148,115,141.889,121.556,-33.4444,47.2222,-13.7778,141.889,0.189464,-2.34842,sky
8,79,9,0,0,1.27778,2.28518,2.11111,0.518519,16.8148,17.3333,21,12.1111,1.55556,12.5556,-14.1111,21,0.422337,-1.45311,brickface
188,133,9,0,0,0.333333,0.266667,0.5,0.077778,6.66667,8.33333,7.77778,3.88889,5,3.33333,-8.33333,8.44444,0.53858,-0.924817,brickface
248,13,9,0,0,0.777779,0.207408,1.11111,0.296294,104.111,88.2222,128.444,95.6667,-47.6667,73,-25.3333,128.444,0.313159,-2.28708,sky
92,62,9,0,0,1.88889,1.31092,1.88889,0.720082,123.481,112.333,139.333,118.778,-33.4444,47.5556,-14.1111,139.333,0.193691,-2.3434,sky
193,66,9,0.111111,0,1.38889,1.44074,0.888888,0.607411,95.1111,80.6667,118.778,85.8889,-43.3333,71,-27.6667,118.778,0.320664,-2.2357,sky
206,30,9,0,0,0.777777,0.501847,0.833332,0.547723,123.333,112.778,139.667,117.556,-31.6667,49,-17.3333,139.667,0.19251,-2.27951,sky
31,106,9,0,0,1.61111,0.72963,0.722222,1.17407,19.1111,19.5556,23.6667,14.1111,1.33333,13.6667,-15,23.6667,0.403224,-1.48458,brickface
34,115,9,0,0,0.5,0.388889,0.777778,0.607407,6.2963,7.33333,7.88889,3.66667,3.11111,4.77778,-7.88889,8,0.541887,-1.17545,brickface
60,131,9,0,0,0.333333,0.088889,0.333333,0.088889,5.22222,7.22222,5.44444,3,6,0.666667,-6.66667,7.22222,0.581349,-0.621222,brickface
124,29,9,0,0,1,0.711108,1.05555,0.907417,128.444,119.222,142.889,123.222,-27.6667,43.3333,-15.6667,142.889,0.165616,-2.27113,sky
29,52,9,0,0,0.388889,0.018518,1.33333,0.177779,125.778,115.556,140.222,121.556,-30.6667,43.3333,-12.6667,140.222,0.175849,-2.34849,sky
122,106,9,0.111111,0,1.61111,0.596296,1.61111,2.72963,23.037,22,29.8889,17.2222,-3.11111,20.5556,-17.4444,29.8889,0.423346,-1.6958,brickface
97,126,9,0,0,1.05556,0.374074,1,0.844445,6.48148,7.66667,8,3.77778,3.55556,4.55556,-8.11111,8.33333,0.551587,-1.11813,brickface
84,86,9,0,0,0.833335,0.691214,1.16667,0.691214,105.778,92.8889,124.111,100.333,-38.6667,55,-16.3333,124.111,0.251552,-2.34379,sky
115,39,9,0,0,0.722223,0.062963,1.22222,0.474075,127.074,116.333,142.444,122.444,-32.2222,46.1111,-13.8889,142.444,0.183242,-2.33602,sky
80,116,9,0,0,1.5,1.63333,1.55556,0.874074,21.7037,21.2222,27.5556,16.3333,-1.44444,17.5556,-16.1111,27.5556,0.407364,-1.63224,brickface
6,90,9,0,0,1.94444,0.596296,1.33333,1.82222,18.1111,18.7778,22.1111,13.4444,2,12,-14,22.1111,0.38846,-1.42588,brickface
94,67,9,0,0,2.55556,3.36296,1.55556,1.18519,23.7407,22.8889,30.7778,17.5556,-2.55556,21.1111,-18.5556,30.7778,0.429897,-1.67017,brickface
193,35,9,0,0,0.277779,0.285183,0.722221,0.285183,136.481,131.222,146.222,132,-15.7778,29.2222,-13.4444,146.222,0.103336,-2.14684,sky
