@relation pendigits-weka.filters.unsupervised.instance.ClassRemover-Clast-N2-H

@attribute input1 numeric
@attribute input2 numeric
@attribute input3 numeric
@attribute input4 numeric
@attribute input5 numeric
@attribute input6 numeric
@attribute input7 numeric
@attribute input8 numeric
@attribute input9 numeric
@attribute input10 numeric
@attribute input11 numeric
@attribute input12 numeric
@attribute input13 numeric
@attribute input14 numeric
@attribute input15 numeric
@attribute input16 numeric
@attribute class {2,4}

@data
37,100,57,91,47,50,22,20,0,17,33,17,66,4,100,0,2
0,89,28,100,64,85,43,61,9,44,23,21,62,11,100,0,2
0,76,24,100,65,97,61,63,40,31,6,5,51,2,100,0,2
0,95,35,100,59,78,61,52,46,27,22,5,56,0,100,1,2
5,79,19,100,25,66,14,32,0,3,34,0,66,5,100,7,2
73,100,49,62,0,38,56,43,100,57,88,78,65,39,49,0,4
19,88,62,100,100,81,83,48,47,23,0,6,18,0,72,1,2
32,76,70,100,100,72,66,38,7,19,0,33,59,18,91,0,2
13,71,40,100,65,69,41,34,0,12,2,8,51,6,100,0,2
40,76,62,100,62,69,34,40,0,16,12,11,57,10,100,0,2
25,76,45,100,77,66,57,25,9,3,0,7,53,6,100,0,2
15,100,8,70,0,39,19,20,78,21,100,43,76,30,72,0,4
39,100,0,82,22,55,100,63,62,99,62,81,59,40,60,0,4
0,82,26,100,51,80,43,50,24,22,12,2,57,1,100,0,2
30,81,70,100,69,65,39,31,0,5,7,18,52,0,100,4,2
54,78,77,100,64,60,36,27,0,2,12,4,56,2,100,0,2
89,100,56,85,0,62,44,50,100,54,82,77,52,38,20,0,4
37,79,78,100,94,68,60,37,10,19,0,31,55,24,100,0,2
23,63,31,100,64,84,54,45,28,10,0,5,50,3,100,0,2
29,72,52,100,63,58,39,17,0,0,18,17,59,10,100,3,2
9,100,0,72,7,44,62,28,100,45,86,55,68,27,55,0,4
54,100,28,76,5,51,0,28,66,27,100,49,82,25,69,0,4
38,100,18,81,0,52,36,38,95,42,100,60,83,31,85,0,4
4,80,0,100,37,82,33,53,5,28,4,6,52,2,100,0,2
0,79,31,94,68,100,100,88,94,62,74,39,51,18,64,0,2
48,100,39,64,0,31,89,31,100,59,77,85,71,42,63,0,4
15,97,0,76,33,46,95,59,100,100,83,83,87,41,97,0,4
0,100,17,94,8,64,24,37,70,41,100,57,87,28,100,0,4
32,72,57,100,76,71,56,35,21,7,0,4,51,0,100,6,2
51,91,86,100,70,66,43,34,8,6,0,11,49,10,100,0,2
31,100,4,70,0,37,66,36,100,50,66,68,36,34,14,0,4
45,82,39,100,82,99,64,43,25,5,0,0,50,4,100,0,2
40,67,54,100,91,85,69,49,34,20,0,0,49,1,100,0,2
100,100,50,76,0,36,76,35,99,62,89,96,80,45,72,0,4
0,75,8,100,40,91,28,59,7,31,13,8,56,5,100,0,2
0,72,9,100,68,94,74,63,49,34,6,9,30,0,100,1,2
6,100,0,80,32,54,100,59,99,99,72,77,60,38,43,0,4
68,100,50,79,15,51,0,47,54,38,100,49,91,35,87,0,4
0,86,37,100,95,92,87,67,55,44,18,23,32,2,100,0,2
29,100,3,82,0,52,60,51,100,78,90,56,81,27,75,0,4
0,75,36,100,63,73,47,34,14,4,4,10,52,9,100,0,2
26,74,54,100,70,70,49,37,18,7,0,7,49,15,100,0,2
8,100,0,81,9,52,81,54,100,75,86,64,87,32,90,0,4
26,80,57,100,72,75,54,44,24,18,0,11,50,8,100,0,2
8,100,0,77,0,55,29,38,71,55,71,42,71,20,100,0,4
19,100,3,83,0,60,8,37,92,33,81,44,70,21,100,0,4
0,98,20,100,19,70,11,40,43,27,89,42,94,29,100,0,4
44,73,66,100,100,88,74,57,33,32,0,21,53,19,99,0,2
0,99,50,100,77,77,59,50,29,26,0,2,48,0,100,4,2
9,61,16,100,58,96,41,53,7,18,0,8,49,2,100,0,2
65,100,20,85,0,52,59,42,100,64,79,62,38,32,7,0,4
43,75,61,100,94,86,75,47,43,14,0,2,49,0,100,1,2
50,89,52,100,0,67,23,45,96,48,100,76,60,39,38,0,4
42,100,22,76,0,52,26,34,82,41,100,47,74,24,57,0,4
19,100,55,99,58,67,30,39,0,15,21,0,60,1,100,0,2
33,64,36,100,59,71,44,34,0,18,32,26,71,0,100,22,2
8,80,40,100,61,67,38,31,0,12,21,27,61,10,100,0,2
26,76,23,100,52,68,43,30,0,12,49,5,97,0,100,32,2
27,100,34,93,0,62,25,44,100,44,91,65,68,32,51,0,4
18,97,35,100,0,76,0,53,64,54,100,53,75,27,66,0,4
73,100,39,75,0,52,43,54,92,61,100,71,84,35,72,0,4
0,79,19,100,60,93,59,64,41,38,19,12,54,1,100,0,2
100,100,24,77,0,56,96,57,100,86,79,70,37,35,4,0,4
31,100,0,62,37,38,100,43,88,80,66,85,62,42,51,0,4
20,73,47,100,62,70,41,35,11,3,0,15,49,9,100,0,2
14,88,49,100,65,77,34,53,0,31,1,7,50,0,100,0,2
17,100,3,75,0,43,60,46,100,62,94,69,92,34,92,0,4
39,69,55,100,96,81,80,43,45,10,0,0,44,15,100,3,2
56,97,42,100,0,74,52,60,100,81,74,60,50,30,33,0,4
49,100,5,87,15,59,92,53,100,84,69,57,35,28,0,0,4
35,100,1,77,0,57,86,62,100,77,48,81,22,41,6,0,4
0,91,34,100,65,83,43,56,12,36,25,13,63,7,100,0,2
40,63,60,100,100,82,85,40,44,11,0,0,45,19,93,3,2
42,49,34,94,81,100,85,53,48,16,0,0,45,3,100,3,2
10,89,30,100,49,73,29,42,0,16,20,19,64,20,100,0,2
26,87,64,100,66,57,39,21,0,0,15,29,57,21,100,21,2
26,87,67,100,80,76,61,48,33,23,0,1,48,0,100,3,2
30,82,52,100,100,85,81,53,38,28,0,26,56,17,97,0,2
4,68,28,98,75,100,64,65,31,36,0,8,43,0,100,6,2
29,84,65,100,87,74,69,45,38,19,0,0,49,6,100,12,2
9,100,10,91,0,61,0,31,55,24,90,45,88,29,100,0,4
30,76,53,100,82,74,66,39,31,12,0,3,50,3,100,0,2
21,87,61,100,71,66,38,36,0,12,15,1,60,1,100,0,2
0,81,15,100,20,76,19,52,24,28,71,21,88,23,100,0,4
0,79,32,100,69,93,54,58,25,29,4,5,52,0,100,2,2
0,90,31,100,46,72,27,42,2,17,29,4,64,2,100,0,2
61,77,78,100,94,76,77,43,47,15,0,1,47,0,100,4,2
33,69,57,100,87,75,66,39,24,15,0,15,51,14,100,0,2
0,73,30,100,68,87,56,51,25,22,2,2,51,4,100,0,2
9,100,19,75,0,35,46,35,100,34,74,67,77,27,83,0,4
0,87,32,100,67,84,48,50,16,23,16,2,58,3,100,0,2
27,73,42,100,62,66,41,30,0,13,38,10,82,0,100,34,2
50,100,63,87,26,62,0,36,59,31,100,54,80,27,76,0,4
18,92,66,100,93,81,49,56,0,35,14,16,75,10,100,0,2
50,60,47,100,92,95,88,47,48,15,0,0,49,5,100,3,2
44,100,65,100,54,62,30,32,0,10,29,7,64,1,100,0,2
11,72,39,100,62,77,50,42,24,12,0,0,50,3,100,3,2
55,76,70,100,95,78,72,50,40,25,0,3,40,0,100,2,2
42,100,7,72,0,41,54,38,100,44,73,73,56,36,39,0,4
9,98,16,100,0,55,65,40,100,58,80,89,52,46,33,0,4
0,63,23,100,56,78,48,34,19,0,11,13,55,23,100,11,2
33,100,21,78,0,53,4,28,77,36,90,51,88,25,100,0,4
0,78,40,100,80,86,70,42,40,7,14,0,56,18,100,3,2
62,100,37,81,14,55,0,28,55,24,100,45,66,27,58,0,4
32,100,12,77,0,48,53,38,100,55,94,57,81,28,65,0,4
38,100,14,74,0,46,39,35,93,35,100,53,86,27,70,0,4
37,100,48,71,0,44,63,37,100,37,89,63,80,29,74,0,4
0,71,20,100,54,91,51,55,29,22,3,0,54,3,100,9,2
31,87,57,100,55,65,30,37,0,14,26,9,62,5,100,0,2
53,81,86,100,98,69,83,37,52,9,0,3,47,0,100,2,2
27,66,53,100,76,77,49,40,9,13,0,15,50,5,100,0,2
43,80,28,100,60,73,40,38,0,14,0,3,50,0,100,0,2
34,100,15,78,0,43,56,37,100,43,78,70,54,36,41,0,4
23,100,15,75,0,40,60,29,94,60,100,70,86,35,78,0,4
45,69,58,100,94,83,75,47,39,18,0,0,50,9,100,2,2
0,77,33,100,55,71,45,35,14,8,9,19,56,17,100,0,2
38,100,20,75,0,47,56,35,100,50,80,56,61,28,43,0,4
24,91,67,100,61,65,36,33,0,6,0,13,50,3,100,0,2
87,100,51,81,0,45,74,46,100,66,89,90,78,44,60,0,4
0,82,43,100,100,94,90,65,55,41,13,18,28,1,92,0,2
14,66,23,100,41,74,24,34,0,0,22,15,61,9,100,3,2
40,100,0,60,20,21,86,14,100,40,75,86,61,50,59,0,4
36,100,19,61,0,27,80,28,100,52,73,90,70,45,69,0,4
56,76,75,100,91,67,68,33,28,10,0,17,51,14,100,0,2
0,77,13,100,57,99,60,64,38,30,11,2,57,0,100,6,2
30,100,19,80,0,53,11,32,74,40,100,56,89,28,85,0,4
6,80,45,100,59,70,37,39,3,13,0,9,52,5,100,0,2
29,71,55,100,74,75,59,39,30,9,0,8,49,0,100,2,2
40,78,62,100,58,67,35,39,0,32,27,22,62,7,100,0,2
0,88,26,100,56,86,45,51,26,19,34,0,69,2,100,10,2
35,100,5,72,0,40,44,18,87,30,100,58,70,30,53,0,4
31,85,63,100,75,71,39,43,0,17,11,4,58,1,100,0,2
41,75,62,100,100,94,74,67,37,43,0,20,23,2,83,0,2
27,100,15,72,0,42,49,31,100,36,82,62,68,31,66,0,4
0,77,26,100,49,87,39,54,15,26,24,11,62,4,100,0,2
29,100,16,77,0,41,70,34,100,64,89,67,57,34,26,0,4
27,84,58,100,76,68,57,34,16,13,0,9,50,5,100,0,2
13,96,56,100,56,75,30,53,0,32,3,11,51,5,100,0,2
22,72,34,100,62,73,38,35,0,8,5,0,53,3,100,8,2
33,100,13,89,0,61,49,58,100,76,63,55,37,28,20,0,4
9,100,18,82,0,49,10,24,71,26,100,51,92,31,90,0,4
20,100,6,79,0,49,65,43,100,66,86,59,70,29,52,0,4
89,100,40,79,0,42,69,38,100,59,74,87,69,43,68,0,4
31,91,0,85,8,45,85,44,100,82,66,100,68,50,76,0,4
7,86,44,100,54,70,30,39,0,13,14,4,57,2,100,0,2
44,100,16,79,0,53,20,33,61,32,100,37,85,28,81,0,4
38,79,59,100,89,77,69,44,31,17,0,22,54,20,100,0,2
51,80,56,100,100,93,82,53,45,20,0,0,42,10,94,1,2
30,84,70,100,78,69,63,38,34,10,0,12,46,14,100,0,2
31,100,20,90,16,57,75,52,100,79,68,63,33,31,0,0,4
22,100,9,68,0,35,22,16,100,18,88,37,50,33,57,0,4
9,100,9,77,0,46,2,22,81,29,100,35,56,31,59,0,4
55,89,52,100,0,71,16,53,100,60,100,65,57,33,27,0,4
75,100,30,73,0,44,62,44,100,51,70,78,55,38,38,0,4
23,100,17,81,0,48,43,33,100,39,58,66,38,34,27,0,4
6,76,33,100,73,75,52,39,6,16,0,31,52,17,100,0,2
35,100,21,73,0,46,18,30,77,30,100,53,87,27,79,0,4
16,100,9,84,0,59,30,40,86,49,100,47,75,24,63,0,4
27,99,50,100,40,57,19,21,0,14,33,15,65,0,100,12,2
42,74,67,100,63,53,36,15,0,0,24,20,62,11,100,0,2
15,100,4,75,0,50,55,41,100,57,85,49,83,24,77,0,4
0,95,40,100,74,80,40,55,1,35,15,12,63,8,100,0,2
19,100,0,63,3,30,63,47,100,77,91,75,77,38,68,0,4
39,100,5,79,0,47,55,42,100,64,80,60,52,30,28,0,4
63,100,46,78,19,55,0,32,54,24,100,44,87,24,74,0,4
0,64,17,100,56,98,53,58,26,26,15,4,57,4,100,0,2
0,87,36,100,56,71,37,40,1,19,15,19,61,16,100,0,2
82,100,51,89,0,62,23,43,100,43,99,66,70,33,47,0,4
0,93,43,100,93,90,89,63,60,39,28,17,44,0,100,4,2
87,100,34,81,0,53,38,32,99,49,100,53,55,27,18,0,4
11,100,8,93,0,60,17,33,60,41,100,57,85,32,76,0,4
16,100,18,77,0,47,26,29,88,35,100,58,74,30,59,0,4
42,100,24,76,0,53,19,35,79,41,100,48,82,24,73,0,4
68,100,42,75,0,52,44,50,100,66,86,46,51,20,41,0,4
21,69,49,100,87,85,69,45,32,16,0,8,50,7,100,0,2
22,100,0,80,19,55,73,48,100,68,63,57,41,29,26,0,4
14,86,46,100,50,63,34,28,0,5,18,8,62,1,100,0,2
60,100,40,81,0,54,2,43,60,34,100,57,82,36,71,0,4
27,70,37,100,72,87,63,48,35,16,0,10,50,10,100,0,2
15,66,14,100,50,89,37,51,7,18,0,12,50,8,100,0,2
12,63,37,100,61,76,37,36,5,1,0,1,49,3,100,0,2
16,100,15,94,6,66,0,38,69,34,95,56,92,28,100,0,4
32,70,45,100,77,84,49,49,14,20,0,0,51,9,100,22,2
16,68,31,100,76,82,70,40,28,13,0,4,55,3,100,0,2
43,100,30,87,0,57,51,61,100,75,80,62,50,31,23,0,4
51,100,86,94,69,61,37,34,0,12,9,0,54,2,100,0,2
46,95,0,94,18,100,94,92,59,61,4,32,49,7,100,0,2
37,100,0,72,6,57,65,67,100,86,64,66,44,32,20,0,4
0,84,34,100,63,75,51,39,15,16,14,27,58,14,100,0,2
17,78,30,100,55,80,31,50,0,23,4,0,52,1,100,5,2
7,100,0,77,0,55,20,33,96,42,87,45,85,22,100,0,4
0,78,21,100,54,97,68,72,60,43,48,16,66,0,100,6,2
20,80,61,100,68,73,38,44,0,20,16,19,58,0,100,15,2
0,80,8,100,37,81,32,49,11,22,23,6,62,5,100,0,2
32,71,47,100,83,80,70,46,31,24,0,7,50,2,100,0,2
72,100,30,84,7,61,0,37,49,30,100,42,74,23,70,0,4
23,100,9,78,0,45,57,28,100,38,58,62,42,32,43,0,4
56,100,42,78,0,52,29,33,100,37,90,59,70,30,59,0,4
0,100,7,88,0,58,18,34,57,30,95,39,87,24,100,0,4
11,100,6,86,0,47,30,16,74,33,100,68,87,39,79,0,4
34,100,34,76,0,49,58,47,100,57,100,56,90,26,82,0,4
0,78,23,100,77,99,100,75,70,50,30,28,29,6,84,0,2
5,84,38,100,53,73,32,42,0,19,29,32,69,23,100,0,2
0,90,41,100,72,84,54,55,26,30,13,3,56,0,100,4,2
56,100,17,77,0,46,45,27,100,42,83,53,38,28,6,0,4
68,100,27,81,0,51,45,29,99,43,100,63,77,32,69,0,4
8,98,25,100,29,64,21,29,0,2,33,2,67,3,100,0,2
24,85,59,100,73,63,46,29,0,16,5,29,54,19,100,0,2
0,77,36,100,94,98,100,69,58,44,14,21,29,2,90,0,2
65,82,93,100,93,71,69,44,36,20,0,0,48,12,100,16,2
18,76,55,100,65,62,38,23,0,0,13,18,57,20,100,16,2
33,100,32,83,0,50,60,47,96,46,100,73,91,35,85,0,4
9,77,18,100,74,95,66,68,34,43,0,19,37,2,100,0,2
21,100,25,88,0,54,20,43,85,42,100,72,91,36,82,0,4
0,63,24,100,52,79,37,37,5,3,6,0,53,2,100,1,2
59,100,34,70,0,38,33,30,100,34,95,66,73,35,53,0,4
22,100,34,75,0,43,38,41,100,38,97,68,91,32,72,0,4
0,79,35,100,87,99,100,71,63,46,23,24,46,4,98,0,2
16,37,8,82,49,100,55,56,26,17,0,0,50,3,100,3,2
40,100,23,83,0,50,54,38,100,52,97,68,68,36,57,0,4
0,100,13,84,13,52,18,22,60,23,93,39,88,30,100,0,4
17,68,27,100,68,86,54,49,21,20,0,5,50,4,100,0,2
17,100,36,93,0,59,50,48,98,63,100,63,84,25,76,0,4
32,71,55,100,72,77,56,44,32,12,0,4,43,13,100,0,2
52,75,69,100,93,77,68,43,34,15,0,1,50,2,100,0,2
0,73,4,100,70,100,93,70,61,38,15,12,31,0,100,6,2
35,100,26,74,0,47,54,38,100,48,91,58,84,29,74,0,4
16,76,48,100,72,77,42,46,0,23,2,14,53,0,100,13,2
30,63,44,100,89,96,77,56,40,24,0,11,51,19,100,0,2
0,76,34,100,70,87,48,49,16,18,11,0,55,5,100,10,2
11,100,0,87,11,48,69,38,100,50,75,94,53,49,37,0,4
0,70,31,94,99,100,100,73,55,46,8,21,19,0,88,1,2
21,100,0,70,7,42,91,49,100,64,70,67,72,34,70,0,4
41,100,12,74,0,44,75,46,100,78,81,75,65,37,48,0,4
83,100,36,82,11,61,0,39,78,35,100,41,67,21,53,0,4
47,100,11,83,0,50,57,37,100,54,81,58,45,30,19,0,4
31,67,40,100,81,97,69,53,39,15,0,1,49,5,100,0,2
0,82,33,100,66,87,58,54,34,27,19,0,60,1,100,10,2
67,100,47,59,0,31,5,34,69,40,100,63,72,41,57,0,4
0,90,32,100,48,77,34,52,12,30,12,8,56,4,100,0,2
21,100,4,79,0,47,54,38,100,49,92,66,91,33,92,0,4
29,83,60,100,78,64,56,27,13,2,0,19,52,18,100,0,2
8,100,23,84,0,56,26,40,100,44,72,56,68,27,89,0,4
27,100,21,83,0,47,36,42,100,49,96,75,86,37,84,0,4
48,100,22,79,5,58,0,37,80,39,100,42,72,21,82,0,4
37,80,81,100,95,70,68,39,32,11,0,10,48,17,100,0,2
45,100,22,79,13,52,66,45,100,66,55,50,23,26,0,0,4
30,100,28,83,0,52,17,36,98,35,100,65,80,33,66,0,4
10,100,6,82,0,62,4,42,59,34,88,39,80,19,100,0,4
48,97,89,100,77,71,49,46,16,23,0,0,50,3,100,7,2
40,78,30,100,79,88,71,54,42,24,0,0,43,4,100,10,2
25,100,29,78,14,49,0,20,56,19,90,39,90,24,100,0,4
25,100,0,63,8,30,82,39,100,70,79,90,89,44,100,0,4
55,100,36,65,0,29,55,33,100,44,77,86,73,45,78,0,4
20,63,29,100,58,76,44,36,11,4,0,1,50,0,100,1,2
15,76,23,100,81,95,78,62,43,35,0,10,38,0,100,3,2
0,62,18,98,56,100,42,60,14,25,11,0,55,6,100,12,2
4,100,2,82,0,50,46,35,100,42,100,63,93,32,93,0,4
15,100,0,74,20,45,82,47,100,64,84,68,77,34,73,0,4
42,73,53,100,94,83,79,49,43,21,0,0,47,10,100,14,2
57,100,51,71,10,47,0,43,54,36,100,48,85,33,71,0,4
52,92,91,100,100,74,77,48,41,27,0,9,35,1,89,0,2
63,78,83,100,100,80,78,53,42,30,0,8,30,0,93,3,2
85,69,81,100,100,66,76,30,36,5,0,0,50,7,99,5,2
55,100,15,77,0,47,42,28,86,43,100,62,84,31,80,0,4
56,100,31,83,6,59,0,33,53,32,100,47,89,26,80,0,4
77,100,47,64,0,36,34,39,100,39,93,73,61,38,37,0,4
61,100,33,86,0,58,55,44,100,66,89,63,61,32,34,0,4
46,100,26,74,0,47,20,25,84,33,100,55,76,28,69,0,4
0,66,23,100,53,83,41,43,14,10,13,0,56,9,100,12,2
0,70,11,100,34,88,26,55,15,23,28,0,66,7,100,19,2
44,100,21,72,0,47,68,54,100,75,85,53,61,25,43,0,4
41,100,25,97,0,54,61,46,100,47,83,87,55,45,36,0,4
36,100,18,76,0,52,13,33,60,34,100,39,93,24,86,0,4
19,74,47,100,81,83,57,51,18,26,0,9,54,6,100,0,2
76,100,18,73,0,50,81,48,100,70,67,74,33,37,8,0,4
45,98,82,100,72,57,42,22,0,0,3,2,52,4,100,6,2
55,73,57,100,92,89,75,50,43,16,0,0,44,19,100,12,2
60,100,36,75,14,50,0,23,47,14,89,30,100,26,86,0,4
0,72,1,100,49,100,72,71,43,39,10,10,51,0,100,1,2
21,100,1,80,0,54,70,51,100,73,82,51,74,24,75,0,4
48,96,67,100,68,57,40,23,0,15,19,30,59,12,100,0,2
0,71,24,100,64,99,69,63,53,29,28,0,57,5,100,10,2
51,100,33,77,0,53,11,32,77,36,100,53,76,27,60,0,4
6,100,0,93,0,67,18,43,65,46,92,50,83,24,100,0,4
48,81,29,100,67,88,48,40,12,3,0,8,50,14,100,0,2
38,100,43,85,0,60,28,51,100,61,98,54,73,25,46,0,4
33,100,16,78,0,52,18,31,58,29,98,34,100,25,100,0,4
7,72,34,100,79,95,67,61,33,33,0,5,48,0,100,1,2
49,97,77,100,79,60,47,28,0,11,8,24,58,14,100,0,2
37,78,79,100,89,68,60,36,16,13,0,22,56,22,100,0,2
12,73,29,100,70,87,51,53,13,28,0,4,50,0,100,0,2
11,100,7,95,0,73,11,51,71,50,100,44,85,22,78,0,4
1,68,4,100,55,77,55,31,7,2,0,6,60,0,100,19,2
29,100,0,77,0,53,75,44,100,63,72,51,73,25,67,0,4
22,100,0,70,28,44,83,47,100,79,71,61,45,30,19,0,4
88,100,48,83,16,59,0,31,50,28,100,45,75,27,62,0,4
28,100,0,80,25,53,96,46,100,74,71,66,43,33,28,0,4
20,100,13,72,0,43,29,26,88,28,100,45,68,29,69,0,4
38,100,27,89,8,67,0,44,40,32,100,41,83,22,81,0,4
59,100,37,69,0,34,46,33,100,38,81,51,63,43,46,0,4
53,100,25,70,0,39,50,34,100,42,85,64,77,32,80,0,4
18,83,53,100,67,75,43,47,12,22,0,0,50,11,100,22,2
35,78,48,100,76,78,57,41,24,11,0,8,50,7,100,0,2
29,100,25,73,0,37,48,32,100,32,84,68,60,39,43,0,4
41,81,48,100,67,71,50,36,0,26,29,19,72,0,100,31,2
0,79,21,100,31,68,22,34,7,2,34,0,69,8,100,11,2
36,60,40,100,57,68,36,29,0,3,15,8,59,0,100,10,2
35,100,0,74,1,45,68,36,100,58,88,54,79,24,72,0,4
36,100,0,76,21,49,73,39,100,60,70,64,72,31,85,0,4
0,56,13,100,50,89,40,40,10,2,12,4,58,0,100,17,2
62,86,97,100,94,71,69,46,37,22,0,2,47,0,100,1,2
33,91,79,100,100,79,79,56,41,37,0,20,37,7,93,0,2
14,79,37,100,56,79,30,52,0,27,0,2,50,0,100,4,2
0,79,38,100,100,94,93,66,55,41,9,19,18,0,89,2,2
0,68,34,100,74,88,56,40,17,10,10,23,55,12,100,0,2
100,100,64,79,27,59,0,38,71,45,98,41,60,21,44,0,4
0,95,46,100,14,63,30,49,100,63,94,67,80,29,72,0,4
14,78,45,100,62,71,34,39,0,14,15,8,58,8,100,0,2
15,79,43,100,51,68,29,31,0,2,30,7,65,0,100,1,2
84,100,42,72,2,45,0,39,59,35,100,49,84,36,75,0,4
0,66,20,100,51,93,50,51,33,13,25,0,62,8,100,7,2
17,100,5,71,0,40,60,39,100,58,85,61,77,29,69,0,4
33,78,67,100,68,67,36,40,0,17,27,1,72,0,100,2,2
0,85,30,100,48,73,33,40,9,13,24,0,65,4,100,10,2
0,74,27,100,54,77,37,42,5,14,2,17,51,9,100,0,2
0,89,36,100,56,72,38,40,8,13,1,0,51,1,100,0,2
14,86,50,100,73,80,39,53,0,28,0,4,58,1,100,0,2
20,100,17,74,0,45,25,26,81,25,95,50,95,30,100,0,4
3,85,38,100,59,78,45,48,22,21,0,0,52,0,100,1,2
20,100,0,75,4,42,72,43,100,63,87,69,85,34,89,0,4
40,100,16,81,0,59,22,40,81,47,100,44,79,22,67,0,4
6,100,18,89,14,54,0,21,54,21,99,38,92,34,100,0,4
9,68,29,100,65,91,45,58,13,31,0,6,51,6,100,0,2
88,100,82,82,45,49,0,22,38,34,94,36,100,42,98,0,4
43,100,10,80,0,51,43,29,95,40,100,53,61,28,39,0,4
8,85,46,100,58,73,36,42,5,15,0,0,50,0,100,2,2
23,78,26,100,62,85,34,55,0,27,1,0,51,0,100,7,2
