@relation horse-colic-weka.filters.unsupervised.instance.ClassRemover-Clast-N2-H

@attribute surgery {yes,no}
@attribute Age {adult,young}
@attribute rectal_temperature numeric
@attribute pulse numeric
@attribute respiratory_rate numeric
@attribute temp_extremities {normal,warm,cool,cold}
@attribute peripheral_pulse {normal,increased,reduced,absent}
@attribute mucous_membranes {'normal pink','bright pink','pale pink','pale cyanotic','bright red','dark cyanotic'}
@attribute capillary_refill_time {<3,>=3,'meaning unknown'}
@attribute pain {'alert no pain',depressed,'intermittent mild pain','intermittent severe pain','continuous severe pain'}
@attribute peristalsis {hypermotile,normal,hypomotile,absent}
@attribute abdominal_distension {none,slight,moderate,severe}
@attribute nasogastric_tube {none,slight,significant}
@attribute nasogastric_reflux {none,>1l,<1l}
@attribute nasogastric_reflux_PH numeric
@attribute rectal_examination {normal,increased,decreased,absent}
@attribute abdomen {normal,other,'firm feces in large intestine','distended small intestine','distended large intestine'}
@attribute packed_cell_volume numeric
@attribute total_protein numeric
@attribute abdominocentesis_appearance {clear,cloudy,serosanguinous}
@attribute abdomcentesis_total_protein numeric
@attribute outcome {lived,died,euthanized}
@attribute surgical_lesion {no,yes}

@data
yes,adult,?,65,24,?,?,?,>=3,'continuous severe pain',?,severe,significant,none,?,?,'distended large intestine',?,?,?,?,euthanized,yes
no,adult,37.5,44,20,normal,normal,'pale pink',<3,?,hypermotile,none,?,?,?,normal,?,35,7.2,?,?,lived,no
no,adult,39,86,16,cool,reduced,'bright red',?,'intermittent mild pain',hypomotile,moderate,?,>1l,?,?,?,68,5.8,serosanguinous,6,died,yes
yes,adult,38.5,129,48,cool,reduced,'pale pink',<3,depressed,absent,moderate,none,<1l,2,?,?,57,66,serosanguinous,2,lived,yes
yes,adult,?,104,?,cool,reduced,'bright red',>=3,depressed,absent,moderate,?,<1l,?,absent,'distended small intestine',69,8.6,cloudy,3.4,died,yes
no,adult,?,?,?,cool,absent,'dark cyanotic',?,'intermittent severe pain',?,severe,?,?,?,?,?,?,?,?,?,died,yes
yes,adult,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,lived,yes
yes,adult,38.2,60,30,normal,normal,'pale pink',<3,'intermittent mild pain',hypomotile,none,slight,none,?,decreased,other,48,66,?,?,lived,yes
yes,adult,?,68,14,?,?,'pale cyanotic',<3,'intermittent severe pain',?,?,?,none,4.3,?,?,?,?,cloudy,2.8,died,yes
yes,adult,?,60,30,cool,reduced,'pale cyanotic',>=3,'continuous severe pain',absent,severe,none,none,?,absent,?,45,70,serosanguinous,2,lived,yes
no,adult,38.5,100,?,cool,reduced,'bright red',>=3,'intermittent severe pain',hypomotile,severe,slight,none,?,absent,'distended large intestine',?,?,?,?,euthanized,no
yes,adult,38.4,84,30,cool,normal,'bright red',>=3,'intermittent severe pain',hypomotile,moderate,slight,<1l,6.5,absent,'distended small intestine',47,7.5,serosanguinous,?,died,yes
no,adult,37.8,48,14,?,?,'normal pink',<3,'intermittent mild pain',?,slight,none,<1l,5.3,normal,?,35,7.5,?,?,lived,no
yes,adult,38,?,24,cool,reduced,'dark cyanotic',>=3,'continuous severe pain',?,severe,none,none,?,?,?,68,7.8,?,?,died,yes
no,adult,37.8,56,16,normal,normal,'bright pink',<3,depressed,hypermotile,none,slight,none,?,normal,?,44,68,clear,1,lived,no
no,adult,38.2,68,32,warm,increased,'bright pink',<3,'alert no pain',hypermotile,none,significant,none,?,normal,normal,43,65,?,?,lived,no
yes,adult,38.5,120,60,cold,reduced,'dark cyanotic',>=3,?,hypomotile,?,?,?,?,?,?,54,?,?,?,lived,yes
yes,adult,39.3,64,90,warm,reduced,'normal pink',<3,?,hypomotile,none,none,>1l,?,?,?,39,6.7,?,?,lived,yes
yes,adult,38.4,80,30,cold,reduced,'normal pink',<3,'intermittent mild pain',hypomotile,moderate,significant,<1l,?,absent,'distended large intestine',32,6.1,serosanguinous,4.3,lived,yes
yes,adult,38.5,60,?,normal,normal,?,<3,?,hypermotile,none,?,?,?,?,?,33,53,clear,?,lived,yes
yes,adult,38.3,60,16,cool,normal,'normal pink',<3,depressed,hypermotile,none,slight,>1l,3,normal,'distended small intestine',30,6,clear,3,lived,yes
yes,adult,37.1,40,8,?,normal,'pale cyanotic',<3,'intermittent mild pain',hypomotile,none,none,none,?,decreased,'firm feces in large intestine',23,6.7,serosanguinous,?,lived,yes
no,young,?,100,44,warm,normal,'normal pink',<3,'intermittent severe pain',hypermotile,none,?,?,?,normal,?,37,4.7,?,?,lived,no
yes,adult,38.2,48,18,normal,normal,'normal pink',<3,'intermittent mild pain',hypomotile,moderate,none,>1l,?,absent,?,48,74,clear,2,lived,yes
yes,adult,?,60,48,cool,reduced,'pale cyanotic',>=3,'intermittent severe pain',hypomotile,severe,?,?,?,?,?,58,7.6,?,?,died,yes
no,adult,37.9,88,24,normal,normal,'bright pink',<3,depressed,normal,none,?,?,?,absent,normal,37,56,?,?,lived,no
no,adult,38,44,12,cool,normal,'normal pink',?,?,hypermotile,slight,?,?,?,normal,?,42,64,?,?,lived,no
no,adult,38.5,60,20,normal,normal,'bright red',>=3,depressed,normal,none,slight,none,?,increased,'firm feces in large intestine',63,7.5,cloudy,2.3,euthanized,no
no,adult,38.5,96,36,cool,reduced,?,>=3,depressed,absent,slight,none,>1l,?,absent,'distended large intestine',70,8.5,?,?,died,yes
no,adult,38.3,60,20,normal,normal,'normal pink',>=3,'alert no pain',hypomotile,none,?,?,?,decreased,?,34,66,?,?,lived,no
no,adult,38.5,60,40,cool,normal,'bright pink',<3,depressed,hypermotile,slight,?,?,?,decreased,other,49,59,?,?,lived,no
yes,adult,37.3,48,12,normal,?,'pale pink',<3,'intermittent mild pain',hypermotile,moderate,slight,none,?,decreased,'firm feces in large intestine',40,6.6,cloudy,?,lived,yes
yes,adult,38.5,86,?,normal,normal,'pale pink',<3,'intermittent severe pain',absent,moderate,slight,none,?,decreased,'distended large intestine',45,7.4,clear,3.4,died,yes
yes,adult,37.5,48,40,?,?,?,?,?,?,?,none,none,?,?,'distended large intestine',41,55,serosanguinous,2,euthanized,yes
no,adult,37.2,36,9,normal,normal,'normal pink',<3,depressed,hypomotile,none,slight,none,?,absent,normal,35,5.7,?,?,lived,no
yes,adult,39.2,?,23,cool,normal,'pale pink',<3,'intermittent severe pain',absent,slight,slight,?,?,?,?,36,6.6,clear,3,lived,yes
no,adult,38.5,100,?,cool,reduced,'bright red',>=3,'intermittent severe pain',hypomotile,severe,slight,none,?,absent,'distended large intestine',?,?,?,?,euthanized,no
yes,adult,38.5,96,30,warm,reduced,'pale cyanotic',>=3,'intermittent severe pain',absent,moderate,slight,none,?,decreased,'distended large intestine',50,65,?,?,lived,yes
yes,adult,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,45,8.7,?,?,died,yes
yes,adult,37.8,88,80,cool,reduced,'bright red',>=3,?,hypomotile,moderate,slight,<1l,?,absent,'distended large intestine',64,89,?,?,euthanized,yes
no,adult,37.5,44,10,cool,normal,'normal pink',<3,'intermittent mild pain',hypermotile,slight,slight,?,?,decreased,'firm feces in large intestine',43,51,clear,1,lived,no
yes,adult,37.9,68,20,?,normal,'bright pink',<3,depressed,absent,slight,?,?,?,normal,'distended large intestine',45,4,serosanguinous,2.8,died,yes
yes,adult,38,86,24,cold,reduced,'pale cyanotic',<3,depressed,absent,severe,none,none,?,absent,'distended large intestine',45,5.5,clear,10.1,died,yes
yes,young,38.9,120,30,normal,reduced,'bright pink',>=3,'intermittent mild pain',hypomotile,moderate,significant,none,3,?,?,47,6.3,clear,?,lived,no
yes,adult,37.6,45,12,cool,normal,'pale pink',<3,?,normal,slight,slight,none,?,normal,'distended small intestine',39,7,cloudy,1.5,lived,yes
no,adult,38.6,56,32,warm,normal,'normal pink',<3,'alert no pain',hypermotile,none,slight,?,?,increased,?,40,7,cloudy,2.1,lived,no
yes,adult,37.8,40,12,normal,normal,'normal pink',<3,'alert no pain',normal,none,slight,none,?,normal,other,38,7,?,?,lived,yes
no,adult,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,lived,no
yes,adult,38,76,18,?,?,?,>=3,?,?,?,?,?,?,?,?,71,11,?,?,lived,yes
yes,adult,38.1,40,36,normal,increased,'bright pink',<3,depressed,normal,?,?,?,?,?,?,?,?,?,?,euthanized,yes
yes,adult,?,52,28,cool,reduced,'pale cyanotic',<3,'intermittent mild pain',absent,moderate,slight,none,?,absent,'distended small intestine',37,8.1,?,?,lived,yes
yes,adult,39.2,88,58,cold,absent,?,>=3,'continuous severe pain',absent,?,?,?,?,?,?,?,?,cloudy,2,euthanized,no
yes,adult,38.5,92,40,cold,reduced,?,<3,depressed,absent,moderate,?,?,?,absent,?,46,67,cloudy,2,lived,yes
yes,adult,?,112,13,cold,absent,'pale cyanotic',<3,depressed,hypomotile,none,slight,none,4.5,absent,'distended small intestine',60,6.3,serosanguinous,?,lived,yes
yes,adult,37.7,66,12,normal,normal,'pale pink',<3,'intermittent mild pain',hypomotile,slight,slight,?,?,absent,'distended small intestine',31.5,6.2,cloudy,1.6,lived,yes
yes,adult,38.8,50,14,normal,normal,'normal pink',<3,'intermittent mild pain',hypermotile,none,none,none,?,decreased,'distended large intestine',38,58,?,?,lived,yes
no,adult,38.4,54,24,normal,normal,'normal pink',<3,'alert no pain',hypomotile,none,slight,none,?,decreased,other,49,7.2,clear,8,lived,no
yes,adult,39.2,120,20,cold,reduced,'bright red',>=3,depressed,hypomotile,moderate,none,<1l,?,?,'distended small intestine',60,8.8,serosanguinous,?,died,yes
yes,young,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,45,6.5,cloudy,?,lived,yes
yes,adult,37.3,90,40,cool,?,'dark cyanotic',>=3,'continuous severe pain',absent,moderate,slight,>1l,?,normal,'distended large intestine',65,50,serosanguinous,2,euthanized,yes
yes,young,38.5,120,70,?,?,?,?,?,hypermotile,?,slight,?,?,normal,?,35,54,clear,1,lived,yes
yes,adult,38.5,104,40,cool,reduced,?,<3,'intermittent severe pain',hypomotile,severe,?,?,?,?,?,?,?,?,?,lived,yes
no,adult,39.5,92,28,cool,reduced,'dark cyanotic',<3,'continuous severe pain',absent,none,?,<1l,?,absent,?,72,6.4,?,3.6,died,no
yes,adult,38.5,30,18,?,?,?,?,?,?,?,?,?,?,?,?,40,7.7,?,?,lived,yes
yes,adult,38.3,72,30,cold,reduced,'pale pink',>=3,'intermittent mild pain',hypomotile,moderate,slight,none,?,decreased,'distended large intestine',43,7,cloudy,3.9,lived,yes
no,adult,37.5,48,30,cold,normal,'pale pink',<3,?,normal,none,none,none,?,normal,normal,48,8.6,?,?,lived,no
yes,adult,38.1,52,24,normal,normal,'bright red',<3,'intermittent severe pain',hypomotile,none,slight,<1l,7,normal,?,54,7.5,cloudy,2.6,died,yes
no,adult,38.2,42,26,normal,normal,'normal pink',<3,'intermittent mild pain',hypermotile,slight,?,?,?,normal,?,36,6.9,?,?,lived,no
no,adult,37.9,54,42,warm,normal,'bright red',<3,'intermittent mild pain',hypermotile,none,?,none,?,?,other,47,54,serosanguinous,1,lived,no
no,adult,36.1,88,?,cool,reduced,'pale pink',<3,'intermittent mild pain',hypomotile,slight,slight,<1l,?,?,'distended small intestine',45,7,serosanguinous,4.8,euthanized,yes
yes,adult,38.1,70,22,?,normal,?,<3,'continuous severe pain',hypomotile,?,?,?,?,?,'distended large intestine',36,65,?,?,euthanized,yes
yes,adult,38,90,30,cold,reduced,'pale cyanotic',>=3,'continuous severe pain',absent,severe,?,?,?,absent,'distended large intestine',55,6.1,?,?,died,yes
yes,adult,38.2,52,16,normal,normal,'bright pink',<3,'alert no pain',normal,none,none,none,?,normal,?,43,8.1,?,?,lived,no
yes,adult,?,36,32,normal,normal,'pale cyanotic',<3,'continuous severe pain',hypomotile,moderate,slight,<1l,4,?,'distended small intestine',41,5.9,?,?,died,yes
yes,adult,38.4,92,20,normal,?,?,>=3,?,hypomotile,moderate,?,?,?,normal,?,?,?,?,?,lived,yes
yes,young,38.2,124,88,normal,reduced,'bright pink',<3,depressed,hypomotile,severe,?,?,?,?,?,47,8,clear,?,lived,yes
no,adult,?,96,?,cool,reduced,'pale pink',>=3,'continuous severe pain',absent,severe,?,none,?,absent,'distended large intestine',60,?,?,?,died,yes
yes,adult,37.6,68,32,cool,?,'pale pink',<3,'intermittent severe pain',normal,severe,slight,>1l,6.5,normal,'distended large intestine',47,7.2,clear,?,lived,yes
yes,adult,38.1,88,24,cool,reduced,'pale cyanotic',<3,'continuous severe pain',absent,moderate,slight,none,?,decreased,'distended small intestine',41,4.6,?,?,died,yes
yes,adult,38,108,60,warm,reduced,'pale cyanotic',<3,'intermittent severe pain',hypomotile,moderate,slight,?,?,decreased,'distended small intestine',?,?,serosanguinous,?,lived,yes
no,adult,38.2,48,?,warm,?,'normal pink',>=3,'intermittent mild pain',hypomotile,none,slight,none,?,?,other,34,6.6,?,?,lived,no
yes,adult,39.3,100,51,cold,absent,'dark cyanotic',<3,depressed,absent,none,none,<1l,2,?,'distended small intestine',66,13,serosanguinous,2,euthanized,yes
no,adult,36.6,42,18,cool,reduced,'bright pink',<3,'alert no pain',absent,none,none,none,?,?,'distended large intestine',52,7.1,?,?,died,yes
yes,young,38.8,124,36,cool,normal,'bright pink',<3,depressed,hypomotile,severe,none,none,?,absent,'distended small intestine',50,7.6,serosanguinous,?,died,yes
no,adult,?,112,24,cool,reduced,'pale cyanotic',>=3,'continuous severe pain',absent,slight,?,?,?,absent,?,40,5.3,serosanguinous,2.6,lived,no
yes,adult,?,80,?,cool,reduced,'pale pink',<3,'intermittent severe pain',absent,severe,?,?,?,absent,'distended large intestine',43,70,?,?,lived,yes
yes,young,38.8,184,84,normal,?,'normal pink',<3,'intermittent severe pain',hypermotile,moderate,?,?,?,increased,?,33,3.3,?,?,died,yes
yes,adult,37.5,72,?,warm,normal,'normal pink',<3,depressed,hypermotile,none,none,none,?,normal,?,35,65,cloudy,2,euthanized,yes
yes,adult,38.7,96,28,cool,reduced,'pale cyanotic',<3,?,absent,?,?,<1l,7.5,?,?,64,9,?,?,died,yes
no,adult,37.5,52,12,normal,normal,'normal pink',<3,depressed,hypomotile,slight,slight,none,?,decreased,'distended large intestine',36,61,clear,1,lived,no
yes,adult,40.8,72,42,cool,reduced,'normal pink',<3,depressed,hypomotile,none,slight,none,?,?,?,54,7.4,serosanguinous,?,died,yes
no,adult,38,40,25,?,normal,'normal pink',<3,'intermittent severe pain',hypomotile,slight,none,none,?,absent,?,37,69,?,?,lived,no
no,adult,38.4,48,16,warm,normal,'normal pink',<3,'alert no pain',?,slight,slight,none,?,?,other,39,6.5,?,?,lived,no
no,young,38.6,88,28,?,?,?,?,?,?,?,?,?,?,?,?,35,5.9,?,?,lived,no
yes,adult,37.1,75,36,?,?,'pale pink',>=3,'intermittent severe pain',absent,slight,slight,<1l,5,absent,'distended small intestine',48,7.4,serosanguinous,3.2,died,yes
yes,adult,38.3,44,21,cool,normal,'bright pink',<3,'intermittent mild pain',hypomotile,moderate,slight,none,?,normal,'distended large intestine',44,6.5,cloudy,4.4,lived,yes
no,adult,?,56,68,cool,normal,'normal pink',<3,'intermittent mild pain',hypomotile,none,slight,none,?,normal,?,40,6,?,?,euthanized,yes
no,adult,38.6,68,20,warm,normal,'pale pink',<3,'intermittent mild pain',hypomotile,slight,none,none,?,normal,'distended large intestine',38,6.5,clear,?,lived,no
no,adult,38.3,54,18,cool,normal,'bright pink',<3,depressed,hypomotile,slight,?,<1l,5.4,?,'distended small intestine',44,7.2,serosanguinous,?,lived,no
yes,adult,38.2,42,20,?,?,'normal pink',<3,?,hypomotile,?,?,?,?,decreased,?,47,60,?,?,lived,no
yes,adult,39.3,64,90,warm,reduced,'normal pink',<3,?,hypomotile,none,none,>1l,6.5,normal,'distended large intestine',39,6.7,?,?,lived,yes
yes,adult,37.5,60,50,cool,reduced,'normal pink',<3,'intermittent mild pain',hypomotile,slight,slight,>1l,3.5,decreased,'distended small intestine',35,6.5,?,?,died,yes
yes,adult,37.7,80,?,cool,reduced,'dark cyanotic',<3,'continuous severe pain',absent,none,slight,<1l,?,decreased,normal,50,55,serosanguinous,2,lived,yes
yes,adult,?,100,30,cool,reduced,'pale cyanotic',>=3,'continuous severe pain',absent,severe,significant,<1l,?,absent,'distended small intestine',52,6.6,?,?,lived,yes
yes,adult,37.7,120,28,cool,reduced,'pale pink',<3,'continuous severe pain',hypomotile,moderate,none,none,?,?,?,65,7,serosanguinous,?,died,yes
yes,adult,?,76,?,?,reduced,?,?,?,absent,severe,?,?,?,?,'distended large intestine',?,?,?,?,euthanized,yes
yes,young,38.8,150,50,normal,reduced,'dark cyanotic',>=3,'continuous severe pain',hypomotile,slight,none,none,?,?,?,50,6.2,?,?,died,yes
yes,adult,38,36,16,cool,normal,'normal pink',<3,'intermittent severe pain',normal,slight,significant,<1l,2,decreased,?,37,75,cloudy,1,euthanized,no
no,adult,36.9,50,40,warm,reduced,'pale pink',<3,'alert no pain',hypomotile,slight,significant,none,7,?,?,37.5,6.5,?,?,lived,no
no,adult,37.8,40,16,normal,normal,'normal pink',<3,'alert no pain',hypermotile,none,?,?,?,normal,normal,37,6.8,?,?,lived,no
no,adult,38.2,56,40,cold,reduced,'normal pink',<3,depressed,absent,moderate,slight,>1l,7.5,?,?,47,7.2,clear,2.5,lived,no
yes,adult,38.6,48,12,?,?,'normal pink',?,'alert no pain',hypermotile,?,?,?,?,?,?,36,67,?,?,lived,no
no,adult,40,78,?,cool,reduced,'bright red',<3,depressed,hypomotile,none,none,none,?,absent,normal,66,6.5,?,?,died,yes
yes,adult,?,70,16,cool,absent,'bright red',>=3,depressed,hypomotile,slight,slight,none,?,absent,'distended large intestine',60,7.5,?,?,died,yes
yes,adult,38.2,72,18,?,?,?,?,?,?,?,?,?,?,?,?,35,6.4,?,?,lived,yes
no,adult,38.5,54,?,normal,normal,'normal pink',<3,'intermittent mild pain',hypermotile,none,slight,none,?,normal,?,40,6.8,cloudy,7,lived,no
yes,adult,38.5,66,24,normal,normal,'normal pink',<3,'intermittent mild pain',hypomotile,none,slight,none,?,absent,'distended large intestine',40,6.7,clear,?,lived,yes
no,adult,37.8,82,12,cool,normal,'normal pink',>=3,'intermittent severe pain',?,moderate,none,<1l,?,?,?,50,7,?,?,euthanized,yes
no,young,39.5,84,30,?,?,?,<3,?,?,?,?,?,?,?,?,28,5,?,?,lived,no
yes,adult,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,lived,yes
yes,adult,38,50,36,?,normal,'normal pink',<3,'intermittent mild pain',normal,slight,?,?,?,decreased,?,39,6.6,clear,5.3,lived,yes
no,adult,38.6,45,16,warm,normal,'bright pink',<3,'alert no pain',hypermotile,?,?,?,?,normal,normal,43,58,?,?,lived,no
yes,adult,38.9,80,44,cool,reduced,'pale pink',<3,depressed,hypomotile,moderate,slight,>1l,7,decreased,normal,54,6.5,serosanguinous,?,died,yes
yes,adult,37,66,20,normal,reduced,'bright pink',<3,'intermittent severe pain',hypomotile,moderate,none,?,?,normal,'distended large intestine',35,6.9,cloudy,?,died,yes
yes,adult,?,78,24,cool,reduced,'pale pink',<3,?,hypomotile,?,slight,none,?,?,'distended small intestine',43,62,?,2,euthanized,no
no,adult,38.5,40,16,normal,normal,'normal pink',<3,depressed,hypermotile,none,?,?,?,decreased,other,37,67,?,?,lived,no
yes,adult,?,120,70,cold,?,'pale cyanotic',>=3,depressed,absent,?,?,?,?,?,'distended large intestine',55,65,?,?,euthanized,no
no,adult,37.2,72,24,cool,increased,'pale cyanotic',>=3,'intermittent severe pain',hypomotile,moderate,significant,none,?,absent,'distended small intestine',44,?,serosanguinous,3.3,euthanized,yes
yes,adult,37.5,72,30,cold,reduced,'pale cyanotic',<3,'intermittent severe pain',absent,moderate,slight,none,?,decreased,'distended large intestine',60,6.8,?,?,died,yes
yes,adult,36.5,100,24,cool,reduced,'pale pink',<3,'intermittent mild pain',hypomotile,moderate,significant,none,?,absent,'distended small intestine',50,6,serosanguinous,3.4,lived,yes
yes,adult,37.2,40,20,?,?,?,?,?,?,?,?,?,?,absent,normal,36,62,clear,1,euthanized,no
no,adult,38.5,54,20,?,normal,'bright pink',>=3,'intermittent mild pain',absent,none,slight,>1l,5.9,?,other,42,6.3,?,?,lived,no
no,adult,37.6,48,36,?,?,'normal pink',<3,?,hypomotile,?,?,?,?,?,?,44,6.3,clear,5,lived,no
yes,adult,37.7,44,28,?,absent,'pale pink',>=3,'continuous severe pain',absent,severe,none,none,?,decreased,'distended large intestine',45,70,serosanguinous,2,lived,yes
yes,adult,37,56,24,cool,normal,'pale cyanotic',>=3,'intermittent severe pain',absent,moderate,none,none,?,?,?,35,61,serosanguinous,2,euthanized,no
no,adult,38,42,12,cool,?,'pale pink',<3,'alert no pain',?,none,?,?,?,?,other,37,5.8,?,?,lived,no
yes,adult,?,60,40,cool,?,'normal pink',<3,?,absent,?,significant,>1l,?,?,'distended large intestine',42,72,?,?,lived,yes
no,adult,38.4,80,60,cool,increased,'bright pink',<3,'intermittent mild pain',normal,none,slight,>1l,?,normal,normal,54,6.9,?,?,lived,no
no,adult,37.8,48,12,warm,normal,'bright pink',<3,'intermittent mild pain',?,none,slight,?,?,increased,?,48,7.3,clear,?,lived,no
?,adult,38,65,40,?,normal,'pale cyanotic',>=3,depressed,?,?,?,?,?,?,'distended large intestine',?,?,?,?,?,yes
no,adult,37.9,45,36,cool,reduced,'pale pink',>=3,depressed,hypomotile,none,slight,none,?,decreased,?,33,5.7,serosanguinous,?,lived,yes
no,adult,39,84,12,cool,normal,'bright red',<3,depressed,absent,slight,none,>1l,7,?,'distended small intestine',62,5.9,cloudy,2.2,died,yes
no,adult,38.2,60,24,cool,normal,'pale pink',>=3,'intermittent mild pain',hypomotile,slight,significant,<1l,?,absent,'distended small intestine',53,7.5,cloudy,1.4,lived,no
yes,adult,?,140,?,?,?,'pale cyanotic',>=3,'continuous severe pain',absent,severe,none,none,?,?,'distended large intestine',30,69,?,?,died,no
yes,adult,37.9,120,60,cool,reduced,'pale pink',<3,'continuous severe pain',absent,severe,slight,>1l,7.5,absent,'distended large intestine',52,6.6,serosanguinous,1.8,died,yes
no,adult,38,72,36,normal,normal,'pale pink',<3,'intermittent mild pain',?,slight,slight,none,?,decreased,'distended large intestine',38,6.8,cloudy,2,lived,no
no,young,38,92,28,normal,normal,'bright pink',<3,'alert no pain',hypomotile,slight,significant,?,7.2,?,?,37,6.1,clear,1.1,lived,no
yes,adult,38.3,66,30,warm,reduced,'normal pink',<3,depressed,absent,moderate,significant,>1l,8.5,absent,'distended large intestine',37,6,?,?,lived,yes
no,adult,37.5,48,24,cool,normal,'normal pink',<3,depressed,hypermotile,?,none,none,?,decreased,other,43,6,clear,2.8,lived,no
yes,adult,37.5,88,20,warm,reduced,'pale pink',<3,'intermittent severe pain',hypomotile,moderate,?,?,?,?,?,35,6.4,clear,?,died,yes
no,young,?,150,60,cold,absent,'pale cyanotic',>=3,'continuous severe pain',absent,severe,?,?,?,?,?,?,?,?,?,died,yes
yes,adult,39.7,100,30,?,?,'dark cyanotic',>=3,'intermittent severe pain',absent,moderate,none,?,?,absent,'distended large intestine',65,75,?,?,euthanized,yes
yes,adult,38.3,80,?,cool,reduced,'pale cyanotic',>=3,'continuous severe pain',absent,moderate,slight,none,?,absent,'distended small intestine',45,7.5,cloudy,4.6,lived,yes
no,adult,37.5,40,32,cool,normal,'pale pink',<3,'intermittent mild pain',normal,moderate,slight,none,?,?,'distended large intestine',32,6.4,clear,1.1,lived,yes
yes,adult,38.4,84,30,cool,normal,'bright red',>=3,'intermittent severe pain',hypomotile,moderate,slight,<1l,6.5,absent,'distended small intestine',47,7.5,serosanguinous,?,died,yes
yes,adult,38.1,84,44,cold,?,'pale cyanotic',>=3,'continuous severe pain',hypomotile,none,none,<1l,5,?,'distended small intestine',60,6.8,?,5.7,died,yes
no,adult,38.7,52,?,normal,normal,'normal pink',<3,'alert no pain',hypomotile,none,?,?,?,normal,'firm feces in large intestine',4,74,?,?,lived,no
no,adult,38.1,44,40,warm,normal,'pale pink',<3,'intermittent mild pain',hypomotile,none,?,?,?,normal,'firm feces in large intestine',35,6.8,?,?,lived,no
no,adult,38.4,52,20,warm,normal,'pale pink',<3,'alert no pain',hypomotile,slight,slight,none,?,decreased,'distended large intestine',41,63,clear,1,lived,no
yes,adult,38.2,60,?,normal,?,'pale pink',<3,depressed,hypermotile,none,none,none,?,absent,'distended small intestine',43,6.2,cloudy,3.9,lived,yes
no,adult,37.7,40,18,normal,normal,'normal pink',?,'intermittent mild pain',normal,none,none,none,?,decreased,'firm feces in large intestine',36,3.5,?,?,lived,no
yes,adult,39.1,60,10,?,normal,'normal pink',?,depressed,hypomotile,?,?,?,?,absent,'distended small intestine',?,?,?,?,lived,yes
no,adult,37.8,48,16,normal,normal,'normal pink',<3,?,hypermotile,none,slight,none,?,absent,'firm feces in large intestine',43,7.5,?,?,lived,no
yes,adult,39,120,?,cold,reduced,'bright red',>=3,depressed,absent,moderate,slight,<1l,8,?,?,65,8.2,serosanguinous,4.6,lived,no
yes,adult,38.2,76,?,warm,reduced,'bright pink',<3,'continuous severe pain',hypomotile,moderate,none,>1l,6,normal,'distended large intestine',35,6.5,cloudy,0.9,lived,yes
no,adult,38.3,88,?,?,?,'dark cyanotic',?,?,?,?,?,?,?,?,?,?,?,?,?,died,no
yes,adult,38,80,30,cool,reduced,'pale pink',<3,?,?,?,?,?,6,?,?,48,8.3,?,4.3,lived,yes
yes,adult,?,?,?,cool,normal,'normal pink',<3,depressed,hypomotile,moderate,none,<1l,6,absent,'distended small intestine',?,?,cloudy,?,died,yes
yes,adult,37.6,40,?,normal,normal,'normal pink',<3,'alert no pain',hypermotile,none,?,?,?,normal,normal,?,?,cloudy,2.1,lived,yes
no,adult,37.5,44,?,normal,normal,'normal pink',<3,'intermittent mild pain',hypomotile,slight,?,?,?,?,?,45,5.8,cloudy,1.4,lived,no
no,adult,38.2,42,16,normal,normal,'pale pink',<3,'alert no pain',hypomotile,none,?,?,?,normal,?,35,60,clear,1,lived,no
no,adult,38,56,44,cool,reduced,'pale pink',?,?,hypermotile,none,slight,none,?,absent,?,47,70,cloudy,1,lived,no
no,adult,38.3,45,20,cool,reduced,'bright pink',>=3,depressed,absent,none,slight,?,?,absent,?,?,?,?,?,lived,no
yes,adult,?,48,96,normal,normal,'pale pink',<3,?,absent,none,slight,none,?,normal,'distended small intestine',42,8,clear,?,lived,yes
yes,adult,37.7,55,28,warm,normal,'bright pink',<3,depressed,hypomotile,moderate,?,<1l,5,absent,'distended large intestine',?,?,?,?,lived,yes
no,adult,36,100,20,cold,reduced,'dark cyanotic',>=3,depressed,absent,moderate,none,none,?,absent,'distended large intestine',74,5.7,cloudy,2.5,euthanized,yes
yes,adult,37.1,60,20,warm,?,'pale cyanotic',<3,'intermittent mild pain',?,moderate,?,>1l,5,decreased,'distended small intestine',64,8.5,cloudy,?,lived,yes
no,adult,37.1,114,40,cool,?,'pale pink',>=3,depressed,normal,none,?,?,?,?,'firm feces in large intestine',32,?,serosanguinous,6.5,lived,no
yes,adult,38.1,72,30,cool,reduced,'pale pink',<3,'intermittent severe pain',absent,moderate,slight,none,?,decreased,'distended large intestine',37,56,serosanguinous,1,lived,yes
yes,adult,37,44,12,cool,normal,'normal pink',>=3,'alert no pain',hypermotile,none,?,?,?,absent,other,40,6.7,serosanguinous,8,lived,yes
yes,adult,38.6,48,20,cool,normal,'normal pink',<3,'intermittent severe pain',hypomotile,none,?,?,?,decreased,?,37,75,?,?,lived,yes
yes,adult,?,82,72,cool,normal,'pale cyanotic',<3,depressed,hypomotile,moderate,?,<1l,?,absent,'distended small intestine',53,65,serosanguinous,2,euthanized,yes
